"condition" "typerepeat" "nb_of_sv" "runocc"
"real" "All" 3609 "0"
"real" "SD" 3536 "0"
"real" "NoSD" 3112 "0"
"real" "LINE" 906 "0"
"real" "SINE" 233 "0"
"real" "DNA" 980 "0"
"real" "LTR" 278 "0"
"random" "All" 3547 "1"
"random" "SD" 3476 "1"
"random" "NoSD" 2808 "1"
"random" "LINE" 927 "1"
"random" "SINE" 256 "1"
"random" "DNA" 1221 "1"
"random" "LTR" 176 "1"
"random" "All" 3523 "2"
"random" "SD" 3439 "2"
"random" "NoSD" 2809 "2"
"random" "LINE" 918 "2"
"random" "SINE" 229 "2"
"random" "DNA" 1222 "2"
"random" "LTR" 162 "2"
"random" "All" 3551 "3"
"random" "SD" 3487 "3"
"random" "NoSD" 2792 "3"
"random" "LINE" 903 "3"
"random" "SINE" 216 "3"
"random" "DNA" 1209 "3"
"random" "LTR" 175 "3"
"random" "All" 3585 "4"
"random" "SD" 3529 "4"
"random" "NoSD" 2795 "4"
"random" "LINE" 922 "4"
"random" "SINE" 240 "4"
"random" "DNA" 1205 "4"
"random" "LTR" 162 "4"
"random" "All" 3528 "5"
"random" "SD" 3453 "5"
"random" "NoSD" 2780 "5"
"random" "LINE" 950 "5"
"random" "SINE" 222 "5"
"random" "DNA" 1170 "5"
"random" "LTR" 158 "5"
"random" "All" 3539 "6"
"random" "SD" 3476 "6"
"random" "NoSD" 2825 "6"
"random" "LINE" 936 "6"
"random" "SINE" 218 "6"
"random" "DNA" 1177 "6"
"random" "LTR" 164 "6"
"random" "All" 3544 "7"
"random" "SD" 3474 "7"
"random" "NoSD" 2789 "7"
"random" "LINE" 935 "7"
"random" "SINE" 226 "7"
"random" "DNA" 1169 "7"
"random" "LTR" 174 "7"
"random" "All" 3529 "8"
"random" "SD" 3470 "8"
"random" "NoSD" 2762 "8"
"random" "LINE" 935 "8"
"random" "SINE" 242 "8"
"random" "DNA" 1198 "8"
"random" "LTR" 136 "8"
"random" "All" 3554 "9"
"random" "SD" 3476 "9"
"random" "NoSD" 2780 "9"
"random" "LINE" 888 "9"
"random" "SINE" 210 "9"
"random" "DNA" 1234 "9"
"random" "LTR" 175 "9"
"random" "All" 3559 "10"
"random" "SD" 3492 "10"
"random" "NoSD" 2778 "10"
