"condition" "typerepeat" "nb_of_sv" "runocc"
"real" "All" 3983 "0"
"real" "SD" 3983 "0"
"real" "NoSD" 3673 "0"
"real" "LINE" 1697 "0"
"real" "SINE" 430 "0"
"real" "DNA" 2100 "0"
"real" "LTR" 323 "0"
"random" "All" 3984 "1"
"random" "SD" 3984 "1"
"random" "NoSD" 3653 "1"
"random" "LINE" 1731 "1"
"random" "SINE" 462 "1"
"random" "DNA" 2080 "1"
"random" "LTR" 301 "1"
"random" "All" 3986 "2"
"random" "SD" 3985 "2"
"random" "NoSD" 3633 "2"
"random" "LINE" 1676 "2"
"random" "SINE" 468 "2"
"random" "DNA" 2095 "2"
"random" "LTR" 279 "2"
"random" "All" 3986 "3"
"random" "SD" 3986 "3"
"random" "NoSD" 3652 "3"
"random" "LINE" 1670 "3"
"random" "SINE" 474 "3"
"random" "DNA" 2115 "3"
"random" "LTR" 264 "3"
"random" "All" 3980 "4"
"random" "SD" 3979 "4"
"random" "NoSD" 3618 "4"
"random" "LINE" 1678 "4"
"random" "SINE" 419 "4"
"random" "DNA" 2087 "4"
"random" "LTR" 307 "4"
"random" "All" 3987 "5"
"random" "SD" 3987 "5"
"random" "NoSD" 3681 "5"
"random" "LINE" 1712 "5"
"random" "SINE" 477 "5"
"random" "DNA" 2151 "5"
"random" "LTR" 273 "5"
"random" "All" 3985 "6"
"random" "SD" 3985 "6"
"random" "NoSD" 3646 "6"
"random" "LINE" 1729 "6"
"random" "SINE" 474 "6"
"random" "DNA" 2067 "6"
"random" "LTR" 283 "6"
"random" "All" 3981 "7"
"random" "SD" 3980 "7"
"random" "NoSD" 3641 "7"
"random" "LINE" 1672 "7"
"random" "SINE" 498 "7"
"random" "DNA" 2070 "7"
"random" "LTR" 306 "7"
"random" "All" 3985 "8"
"random" "SD" 3985 "8"
"random" "NoSD" 3678 "8"
"random" "LINE" 1673 "8"
"random" "SINE" 482 "8"
"random" "DNA" 2087 "8"
"random" "LTR" 273 "8"
"random" "All" 3986 "9"
"random" "SD" 3984 "9"
"random" "NoSD" 3687 "9"
"random" "LINE" 1683 "9"
"random" "SINE" 473 "9"
"random" "DNA" 2140 "9"
"random" "LTR" 284 "9"
"random" "All" 3984 "10"
"random" "SD" 3984 "10"
"random" "NoSD" 3656 "10"
"random" "LINE" 1699 "10"
"random" "SINE" 460 "10"
"random" "DNA" 2093 "10"
"random" "LTR" 301 "10"
"random" "All" 3985 "11"
"random" "SD" 3984 "11"
"random" "NoSD" 3671 "11"
"random" "LINE" 1731 "11"
"random" "SINE" 476 "11"
"random" "DNA" 2063 "11"
"random" "LTR" 281 "11"
"random" "All" 3985 "12"
"random" "SD" 3985 "12"
"random" "NoSD" 3672 "12"
"random" "LINE" 1771 "12"
"random" "SINE" 427 "12"
"random" "DNA" 2063 "12"
"random" "LTR" 312 "12"
"random" "All" 3981 "13"
"random" "SD" 3980 "13"
"random" "NoSD" 3665 "13"
"random" "LINE" 1738 "13"
"random" "SINE" 484 "13"
"random" "DNA" 2081 "13"
"random" "LTR" 287 "13"
"random" "All" 3981 "14"
"random" "SD" 3980 "14"
"random" "NoSD" 3668 "14"
"random" "LINE" 1691 "14"
"random" "SINE" 490 "14"
"random" "DNA" 2106 "14"
"random" "LTR" 290 "14"
"random" "All" 3987 "15"
"random" "SD" 3986 "15"
"random" "NoSD" 3651 "15"
"random" "LINE" 1651 "15"
"random" "SINE" 447 "15"
"random" "DNA" 2135 "15"
"random" "LTR" 282 "15"
"random" "All" 3985 "16"
"random" "SD" 3982 "16"
"random" "NoSD" 3666 "16"
"random" "LINE" 1676 "16"
"random" "SINE" 489 "16"
"random" "DNA" 2110 "16"
"random" "LTR" 279 "16"
"random" "All" 3987 "17"
"random" "SD" 3987 "17"
"random" "NoSD" 3671 "17"
"random" "LINE" 1659 "17"
"random" "SINE" 463 "17"
"random" "DNA" 2089 "17"
"random" "LTR" 278 "17"
"random" "All" 3982 "18"
"random" "SD" 3982 "18"
"random" "NoSD" 3682 "18"
"random" "LINE" 1722 "18"
"random" "SINE" 468 "18"
"random" "DNA" 2121 "18"
"random" "LTR" 284 "18"
"random" "All" 3983 "19"
"random" "SD" 3983 "19"
"random" "NoSD" 3676 "19"
"random" "LINE" 1688 "19"
"random" "SINE" 467 "19"
"random" "DNA" 2087 "19"
"random" "LTR" 285 "19"
"random" "All" 3979 "20"
"random" "SD" 3978 "20"
"random" "NoSD" 3673 "20"
"random" "LINE" 1698 "20"
"random" "SINE" 488 "20"
"random" "DNA" 2126 "20"
"random" "LTR" 270 "20"
"random" "All" 3982 "21"
"random" "SD" 3981 "21"
"random" "NoSD" 3652 "21"
"random" "LINE" 1686 "21"
"random" "SINE" 475 "21"
"random" "DNA" 2065 "21"
"random" "LTR" 284 "21"
"random" "All" 3985 "22"
"random" "SD" 3984 "22"
"random" "NoSD" 3654 "22"
"random" "LINE" 1715 "22"
"random" "SINE" 463 "22"
"random" "DNA" 2087 "22"
"random" "LTR" 245 "22"
"random" "All" 3982 "23"
"random" "SD" 3982 "23"
"random" "NoSD" 3718 "23"
"random" "LINE" 1646 "23"
"random" "SINE" 476 "23"
"random" "DNA" 2152 "23"
"random" "LTR" 280 "23"
"random" "All" 3984 "24"
"random" "SD" 3984 "24"
"random" "NoSD" 3670 "24"
"random" "LINE" 1633 "24"
"random" "SINE" 457 "24"
"random" "DNA" 2057 "24"
"random" "LTR" 286 "24"
"random" "All" 3981 "25"
"random" "SD" 3981 "25"
"random" "NoSD" 3655 "25"
"random" "LINE" 1681 "25"
"random" "SINE" 446 "25"
"random" "DNA" 2111 "25"
"random" "LTR" 294 "25"
"random" "All" 3982 "26"
"random" "SD" 3981 "26"
"random" "NoSD" 3627 "26"
"random" "LINE" 1688 "26"
"random" "SINE" 416 "26"
"random" "DNA" 2084 "26"
"random" "LTR" 285 "26"
"random" "All" 3983 "27"
"random" "SD" 3983 "27"
"random" "NoSD" 3640 "27"
"random" "LINE" 1687 "27"
"random" "SINE" 448 "27"
"random" "DNA" 2086 "27"
"random" "LTR" 296 "27"
"random" "All" 3982 "28"
"random" "SD" 3981 "28"
"random" "NoSD" 3634 "28"
"random" "LINE" 1698 "28"
"random" "SINE" 453 "28"
"random" "DNA" 2131 "28"
"random" "LTR" 303 "28"
"random" "All" 3980 "29"
"random" "SD" 3980 "29"
"random" "NoSD" 3677 "29"
