"CHROM" "Old_code" "Manual_start" "Manual_end" "newcode" "length"
"ssa01" "AA" 92750000 92880000 "ssa01_92mb7_92mb8" 130000
"ssa02" "AC" 14395000 14450000 "ssa02_14mb3_14mb4" 55000
"ssa03" "AE" 75839027 75979106 "ssa03_75mb8_75mb9" 140079
"ssa03" "AF" 81220000 81261255 "ssa03_81mb2_81mb2" 41255
"ssa04" "AG" 29000000 32100000 "ssa04_29mb0_32mb1" 3100000
"ssa05" "AJ" 44020000 44084228 "ssa05_44mb0_44mb0" 64228
"ssa06" "AM" 52540000 55000000 "ssa06_52mb5_55mb0" 2460000
"ssa09" "AQ" 140185732 140202636 "ssa09_140mb1_140mb2" 16904
"ssa12" "AU" 63150000 63800000 "ssa12_63mb1_63mb8" 650000
"ssa12" "AV" 64000000 65000000 "ssa12_64mb0_65mb0" 1000000
"ssa13" "AW" 51710000 52150000 "ssa13_51mb7_52mb1" 440000
"ssa13" "AX" 76000000 76800000 "ssa13_76mb0_76mb8" 800000
"ssa14" "AZ" 35000000 35400000 "ssa14_35mb0_35mb4" 400000
"ssa14" "BC" 56242199 56291923 "ssa14_56mb2_56mb2" 49724
"ssa16" "BE" 33750000 34020915 "ssa16_33mb7_34mb0" 270915
"ssa16" "BF" 51650000 51820000 "ssa16_51mb6_51mb8" 170000
"ssa16" "BG" 60620000 60880000 "ssa16_60mb6_60mb8" 260000
"ssa17" "BH" 35400419 35510000 "ssa17_35mb4_35mb5" 109581
"ssa18" "BI" 67200000 67510731 "ssa18_67mb2_67mb5" 310731
"ssa18" "BJ" 72307638 72471162 "ssa18_72mb3_72mb4" 163524
"ssa19" "BM" 31600000 32200000 "ssa19_31mb6_32mb2" 600000
"ssa21" "BP" 38333640 38459102 "ssa21_38mb3_38mb4" 125462
"ssa25" "BT" 43856943 43882324 "ssa25_43mb8_43mb8" 25381
"ssa27" "BV" 11940000 12240000 "ssa27_11mb9_12mb2" 300000
"ssa29" "BY" 5670000 5900000 "ssa29_5mb6_5mb9" 230000
